id,name,price,tags
1,Apple,0.5,fruit healthy snack
2,Banana,0.3,fruit yellow snack
3,Carrot,0.2,vegetable orange healthy
4,Broccoli,1.0,vegetable green healthy
5,Chicken,5.0,meat protein food
6,Beef,6.0,meat protein food
7,Pork,4.0,meat protein food
8,Salmon,7.0,fish protein food
9,Shrimp,8.0,seafood protein food
10,Apple Juice,1.0,fruit drink
11,Orange Juice,1.0,fruit drink
12,Carrot Juice,1.0,vegetable drink
13,Green Juice,1.0,vegetable drink
14,Chicken Soup,2.0,meat soup
15,Beef Soup,3.0,meat soup
16,Pork Soup,2.0,meat soup
17,Salmon Soup,3.0,fish soup
18,Shrimp Soup,4.0,seafood soup
19,Apple Pie,3.0,fruit dessert
20,Banana Cake,2.0,fruit dessert
21,Carrot Cake,2.0,vegetable dessert
22,Broccoli Cake,3.0,vegetable dessert
23,Chicken Cake,4.0,meat dessert
24,Beef Cake,5.0,meat dessert
25,Pork Cake,4.0,meat dessert
26,Salmon Cake,5.0,fish dessert
27,Shrimp Cake,6.0,seafood dessert
28,Apple Salad,1.0,fruit salad
29,Banana Salad,1.0,fruit salad
30,Carrot Salad,1.0,vegetable salad
31,Broccoli Salad,1.0,vegetable salad
32,Chicken Salad,2.0,meat salad
33,Beef Salad,3.0,meat salad
34,Pork Salad,2.0,meat salad
35,Salmon Salad,3.0,fish salad
